filing_id,ticker,filing_type,accession_number,filing_year,chunking_method,failure_mode,sections_detected,chunks_produced,total_chars,captured_ratio,largest_section_item,largest_section_ratio,item_7_chars,quality_check_passed,quality_check_reason
AAPL_0000320193-22-000108,AAPL,10-K,0000320193-22-000108,2022,section_aware,none,22,115,217588,0.9623,8,0.3386,17665,True,all signals pass
AAPL_0000320193-23-000106,AAPL,10-K,0000320193-23-000106,2023,section_aware,none,23,112,202521,0.957,1A,0.3352,15595,True,all signals pass
AAPL_0000320193-24-000123,AAPL,10-K,0000320193-24-000123,2024,section_aware,none,23,113,206208,0.9581,1A,0.3335,15452,True,all signals pass
AAPL_0000320193-25-000079,AAPL,10-K,0000320193-25-000079,2025,section_aware,none,23,114,208584,0.9586,1A,0.3263,18111,True,all signals pass
ADBE_0000796343-23-000007,ADBE,10-K,0000796343-23-000007,2023,section_aware,none,22,182,374009,0.9793,8,0.3447,54123,True,all signals pass
ADBE_0000796343-24-000006,ADBE,10-K,0000796343-24-000006,2024,section_aware,none,23,181,369206,0.9768,8,0.356,49664,True,all signals pass
ADBE_0000796343-25-000004,ADBE,10-K,0000796343-25-000004,2025,section_aware,none,23,183,379839,0.9777,8,0.3441,49066,True,all signals pass
ADBE_0000796343-26-000003,ADBE,10-K,0000796343-26-000003,2026,section_aware,none,23,169,348436,0.9757,8,0.3719,46944,True,all signals pass
AIG_0000005272-23-000007,AIG,10-K,0000005272-23-000007,2023,section_aware,none,22,575,1129755,0.9423,7A,0.4359,19345,True,all signals pass
AIG_0000005272-24-000023,AIG,10-K,0000005272-24-000023,2024,section_aware,none,23,614,1177294,0.9444,7A,0.4809,17766,True,all signals pass
AIG_0000005272-25-000012,AIG,10-K,0000005272-25-000012,2025,section_aware,none,23,448,847889,0.9409,7A,0.4637,19946,True,all signals pass
AIG_0000005272-26-000023,AIG,10-K,0000005272-26-000023,2026,section_aware,none,23,389,748131,0.9398,7A,0.4693,15598,True,all signals pass
ALL_0000899051-23-000020,ALL,10-K,0000899051-23-000020,2023,section_aware,none,22,354,752001,0.8977,8,0.4438,243369,True,all signals pass
ALL_0000899051-24-000013,ALL,10-K,0000899051-24-000013,2024,section_aware,none,23,366,766983,0.8971,8,0.4526,239085,True,all signals pass
ALL_0000899051-25-000015,ALL,10-K,0000899051-25-000015,2025,section_aware,none,23,343,721788,0.899,8,0.4574,215569,True,all signals pass
ALL_0000899051-26-000031,ALL,10-K,0000899051-26-000031,2026,section_aware,none,23,322,669571,0.904,8,0.4628,189237,True,all signals pass
AMAT_0000006951-22-000043,AMAT,10-K,0000006951-22-000043,2022,section_aware,none,22,172,341307,0.9769,16,0.4019,68256,True,all signals pass
AMAT_0000006951-23-000041,AMAT,10-K,0000006951-23-000041,2023,section_aware,none,22,162,320996,0.9743,16,0.4276,53259,True,all signals pass
AMAT_0000006951-24-000044,AMAT,10-K,0000006951-24-000044,2024,section_aware,none,23,148,297853,0.9729,16,0.4077,39183,True,all signals pass
AMAT_0001628280-25-056742,AMAT,10-K,0001628280-25-056742,2025,section_aware,none,23,149,295186,0.9726,16,0.4284,41054,True,all signals pass
AMD_0000002488-23-000047,AMD,10-K,0000002488-23-000047,2023,section_aware,none,22,193,397006,0.9846,8,0.3319,41739,True,all signals pass
AMD_0000002488-24-000012,AMD,10-K,0000002488-24-000012,2024,section_aware,none,23,194,396869,0.9846,1A,0.3167,35254,True,all signals pass
AMD_0000002488-25-000012,AMD,10-K,0000002488-25-000012,2025,section_aware,none,23,185,377374,0.9839,1A,0.3341,32866,True,all signals pass
AMD_0000002488-26-000018,AMD,10-K,0000002488-26-000018,2026,section_aware,none,23,195,394881,0.9846,1A,0.334,37683,True,all signals pass
AMZN_0001018724-23-000004,AMZN,10-K,0001018724-23-000004,2023,section_aware,none,22,141,270865,0.9796,8,0.4403,49422,True,all signals pass
AMZN_0001018724-24-000008,AMZN,10-K,0001018724-24-000008,2024,section_aware,none,23,149,285897,0.9788,8,0.4381,48136,True,all signals pass
AMZN_0001018724-25-000004,AMZN,10-K,0001018724-25-000004,2025,section_aware,none,23,146,282945,0.9785,8,0.4307,48721,True,all signals pass
AMZN_0001018724-26-000004,AMZN,10-K,0001018724-26-000004,2026,section_aware,none,23,149,286358,0.9788,8,0.4367,46497,True,all signals pass
ANET_0001596532-23-000016,ANET,10-K,0001596532-23-000016,2023,section_aware,none,22,200,428903,0.9686,1A,0.4046,48663,True,all signals pass
ANET_0001596532-24-000043,ANET,10-K,0001596532-24-000043,2024,section_aware,none,23,208,456336,0.9696,1A,0.4138,51089,True,all signals pass
ANET_0001596532-25-000028,ANET,10-K,0001596532-25-000028,2025,section_aware,none,23,210,462347,0.9696,1A,0.4352,50272,True,all signals pass
ANET_0001596532-26-000013,ANET,10-K,0001596532-26-000013,2026,section_aware,none,23,191,414938,0.9656,1A,0.4573,43327,True,all signals pass
AON_0001628280-23-004087,AON,10-K,0001628280-23-004087,2023,section_aware,none,22,202,397517,0.965,8,0.3505,75395,True,all signals pass
AON_0001628280-24-005392,AON,10-K,0001628280-24-005392,2024,section_aware,none,23,222,444980,0.9602,8,0.3208,81284,True,all signals pass
AON_0001628280-25-006093,AON,10-K,0001628280-25-006093,2025,section_aware,none,23,239,475691,0.963,8,0.3537,100707,True,all signals pass
AON_0001628280-26-008116,AON,10-K,0001628280-26-008116,2026,section_aware,none,23,232,461631,0.9622,8,0.3548,92070,True,all signals pass
APO_0001858681-23-000007,APO,10-K,0001858681-23-000007,2023,section_aware,none,23,499,1068419,0.9548,8,0.3215,200433,True,all signals pass
APO_0001858681-24-000031,APO,10-K,0001858681-24-000031,2024,section_aware,none,24,504,1049293,0.9517,8,0.392,225332,True,all signals pass
APO_0001858681-25-000034,APO,10-K,0001858681-25-000034,2025,section_aware,none,24,506,1053209,0.9529,8,0.3857,225222,True,all signals pass
APO_0001858681-26-000013,APO,10-K,0001858681-26-000013,2026,section_aware,none,24,523,1094968,0.9542,8,0.3753,233978,True,all signals pass
AVGO_0001730168-22-000118,AVGO,10-K,0001730168-22-000118,2022,section_aware,none,22,195,396136,0.98,8,0.362,48848,True,all signals pass
AVGO_0001730168-23-000096,AVGO,10-K,0001730168-23-000096,2023,section_aware,none,23,191,385590,0.9782,8,0.3365,47722,True,all signals pass
AVGO_0001730168-24-000139,AVGO,10-K,0001730168-24-000139,2024,section_aware,none,23,190,384953,0.9778,8,0.3698,48380,True,all signals pass
AVGO_0001730168-25-000121,AVGO,10-K,0001730168-25-000121,2025,section_aware,none,23,183,367924,0.9765,8,0.3713,49624,True,all signals pass
AXP_0000004962-23-000006,AXP,10-K,0000004962-23-000006,2023,section_aware,none,18,284,581522,0.9855,8,0.3289,160673,True,all signals pass
AXP_0000004962-24-000013,AXP,10-K,0000004962-24-000013,2024,section_aware,none,19,298,615432,0.9863,8,0.3214,165198,True,all signals pass
AXP_0000004962-25-000016,AXP,10-K,0000004962-25-000016,2025,section_aware,none,19,305,629510,0.9866,8,0.328,165108,True,all signals pass
AXP_0000004962-26-000080,AXP,10-K,0000004962-26-000080,2026,section_aware,none,19,305,629667,0.9865,8,0.3295,160753,True,all signals pass
BAC_0000070858-26-000157,BAC,10-K,0000070858-26-000157,2026,section_aware,none,23,485,901689,0.9904,8,0.4461,160444,True,all signals pass
BLK_0000950170-25-026584,BLK,10-K,0000950170-25-026584,2025,section_aware,none,23,365,655731,0.991,16,0.3417,156814,True,all signals pass
BLK_0001193125-26-071966,BLK,10-K,0001193125-26-071966,2026,section_aware,none,23,385,684974,0.991,16,0.3454,163899,True,all signals pass
BX_0001193125-23-048733,BX,10-K,0001193125-23-048733,2023,section_aware,none,23,647,1143806,0.9765,8,0.2437,227594,True,all signals pass
BX_0001193125-24-044485,BX,10-K,0001193125-24-044485,2024,section_aware,none,24,650,1148647,0.9799,8,0.2497,230590,True,all signals pass
BX_0001193125-25-042469,BX,10-K,0001193125-25-042469,2025,section_aware,none,24,626,1116082,0.98,1A,0.2467,223151,True,all signals pass
BX_0001193125-26-082531,BX,10-K,0001193125-26-082531,2026,section_aware,none,24,643,1113921,0.9797,8,0.2512,226424,True,all signals pass
CB_0000896159-23-000007,CB,10-K,0000896159-23-000007,2023,section_aware,none,22,395,747472,0.9923,16,0.4432,193720,True,all signals pass
CB_0000896159-24-000003,CB,10-K,0000896159-24-000003,2024,section_aware,none,23,432,807462,0.9919,16,0.4709,196463,True,all signals pass
CB_0000896159-25-000004,CB,10-K,0000896159-25-000004,2025,section_aware,none,23,419,787976,0.9918,16,0.4605,190224,True,all signals pass
CB_0000896159-26-000005,CB,10-K,0000896159-26-000005,2026,section_aware,none,23,402,751364,0.9914,16,0.4771,180487,True,all signals pass
CDNS_0000813672-23-000011,CDNS,10-K,0000813672-23-000011,2023,section_aware,none,22,183,369170,0.9836,15,0.3936,51056,True,all signals pass
CDNS_0000813672-24-000034,CDNS,10-K,0000813672-24-000034,2024,section_aware,none,23,192,393276,0.9841,15,0.3929,50511,True,all signals pass
CDNS_0000813672-25-000024,CDNS,10-K,0000813672-25-000024,2025,section_aware,none,23,200,411449,0.9848,15,0.3883,50565,True,all signals pass
CDNS_0000813672-26-000016,CDNS,10-K,0000813672-26-000016,2026,section_aware,none,23,216,451987,0.9861,15,0.3731,57274,True,all signals pass
CME_0001156375-23-000020,CME,10-K,0001156375-23-000020,2023,section_aware,none,22,182,360488,0.961,8,0.2994,64928,True,all signals pass
CME_0001156375-24-000010,CME,10-K,0001156375-24-000010,2024,section_aware,none,23,181,363723,0.9614,8,0.2936,63551,True,all signals pass
CME_0001156375-25-000021,CME,10-K,0001156375-25-000021,2025,section_aware,none,23,185,372659,0.9591,8,0.2951,63253,True,all signals pass
CME_0001156375-26-000009,CME,10-K,0001156375-26-000009,2026,section_aware,none,23,197,402436,0.9602,8,0.2839,64705,True,all signals pass
COF_0000927628-23-000117,COF,10-K,0000927628-23-000117,2023,section_aware,none,22,373,722955,0.9855,8,0.4057,216617,True,all signals pass
COF_0000927628-24-000094,COF,10-K,0000927628-24-000094,2024,section_aware,none,23,398,778729,0.9866,8,0.3935,223862,True,all signals pass
COF_0000927628-25-000092,COF,10-K,0000927628-25-000092,2025,section_aware,none,23,406,799328,0.9871,8,0.3815,225301,True,all signals pass
COF_0000927628-26-000024,COF,10-K,0000927628-26-000024,2026,section_aware,none,23,441,881728,0.9881,8,0.3906,228082,True,all signals pass
CRM_0001108524-23-000011,CRM,10-K,0001108524-23-000011,2023,section_aware,none,23,188,402540,0.9639,1A,0.3192,57954,True,all signals pass
CRM_0001108524-24-000005,CRM,10-K,0001108524-24-000005,2024,section_aware,none,24,189,402888,0.9639,1A,0.3155,54557,True,all signals pass
CRM_0001108524-25-000006,CRM,10-K,0001108524-25-000006,2025,section_aware,none,24,190,399592,0.9781,8,0.3041,51918,True,all signals pass
CRM_0001108524-26-000060,CRM,10-K,0001108524-26-000060,2026,section_aware,none,24,199,411595,0.9787,8,0.3232,54892,True,all signals pass
CSCO_0000858877-22-000013,CSCO,10-K,0000858877-22-000013,2022,section_aware,none,22,187,419369,0.8367,8,0.3793,78158,True,all signals pass
CSCO_0000858877-23-000023,CSCO,10-K,0000858877-23-000023,2023,section_aware,none,22,177,397952,0.8264,8,0.3747,72238,True,all signals pass
CSCO_0000858877-24-000017,CSCO,10-K,0000858877-24-000017,2024,section_aware,none,23,211,418285,0.9817,8,0.3931,74781,True,all signals pass
CSCO_0000858877-25-000111,CSCO,10-K,0000858877-25-000111,2025,section_aware,none,23,206,403959,0.9811,8,0.3848,71729,True,all signals pass
GOOGL_0001652044-23-000016,GOOGL,10-K,0001652044-23-000016,2023,section_aware,none,22,162,322245,0.9573,8,0.3787,56535,True,all signals pass
GOOGL_0001652044-24-000022,GOOGL,10-K,0001652044-24-000022,2024,section_aware,none,23,173,343821,0.9602,8,0.3595,59925,True,all signals pass
GOOGL_0001652044-25-000014,GOOGL,10-K,0001652044-25-000014,2025,section_aware,none,23,177,354281,0.9611,8,0.3613,58296,True,all signals pass
GOOGL_0001652044-26-000018,GOOGL,10-K,0001652044-26-000018,2026,section_aware,none,23,176,348077,0.9682,8,0.385,52692,True,all signals pass
GS_0000886982-23-000003,GS,10-K,0000886982-23-000003,2023,section_aware,none,20,564,1106255,0.9914,8,0.4437,289372,True,all signals pass
GS_0000886982-24-000006,GS,10-K,0000886982-24-000006,2024,section_aware,none,21,574,1131590,0.9917,8,0.441,293854,True,all signals pass
GS_0000886982-25-000005,GS,10-K,0000886982-25-000005,2025,section_aware,none,21,570,1126465,0.9918,8,0.4345,297417,True,all signals pass
GS_0000886982-26-000091,GS,10-K,0000886982-26-000091,2026,section_aware,none,21,559,1107339,0.9916,8,0.4157,312614,True,all signals pass
INTU_0000896878-22-000028,INTU,10-K,0000896878-22-000028,2022,section_aware,none,22,200,409821,0.9749,8,0.3839,66757,True,all signals pass
INTU_0000896878-23-000034,INTU,10-K,0000896878-23-000034,2023,section_aware,none,22,202,415078,0.974,8,0.375,67196,True,all signals pass
INTU_0000896878-24-000039,INTU,10-K,0000896878-24-000039,2024,section_aware,none,23,210,430425,0.9736,8,0.3781,70373,True,all signals pass
INTU_0000896878-25-000035,INTU,10-K,0000896878-25-000035,2025,section_aware,none,23,205,421899,0.9732,8,0.3829,68378,True,all signals pass
KKR_0001404912-23-000005,KKR,10-K,0001404912-23-000005,2023,section_aware,none,22,810,1706427,0.9853,1A,0.2929,297547,True,all signals pass
KKR_0001404912-24-000005,KKR,10-K,0001404912-24-000005,2024,section_aware,none,23,812,1675934,0.985,8,0.2954,305802,True,all signals pass
KKR_0001404912-25-000015,KKR,10-K,0001404912-25-000015,2025,section_aware,none,23,808,1677002,0.984,8,0.2963,20687,True,all signals pass
KKR_0001404912-26-000007,KKR,10-K,0001404912-26-000007,2026,section_aware,none,23,681,1343596,0.9814,8,0.3602,21782,True,all signals pass
KLAC_0000319201-22-000023,KLAC,10-K,0000319201-22-000023,2022,section_aware,none,22,235,482689,0.9704,8,0.4073,76344,True,all signals pass
KLAC_0000319201-23-000031,KLAC,10-K,0000319201-23-000031,2023,section_aware,none,22,231,476270,0.9686,8,0.3901,74678,True,all signals pass
KLAC_0000319201-24-000021,KLAC,10-K,0000319201-24-000021,2024,section_aware,none,23,231,472591,0.9666,8,0.3904,55705,True,all signals pass
KLAC_0000319201-25-000024,KLAC,10-K,0000319201-25-000024,2025,section_aware,none,23,221,455168,0.9649,8,0.3907,52823,True,all signals pass
MET_0001099219-23-000045,MET,10-K,0001099219-23-000045,2023,section_aware,large_item8_legit,22,585,1151464,0.9899,8,0.4774,298365,True,all signals pass
MET_0001099219-24-000035,MET,10-K,0001099219-24-000035,2024,section_aware,large_item8_legit,23,618,1165987,0.99,8,0.5461,247372,True,all signals pass
